#,Time in Sec,Time in usec, Bytes sent,Sender latitude,Sender longitude, Sender Speed(km/h),Sender Altitude(m), Receiver latitude, Receiver Longitude, Receiver Speed,Receiver Altitude(m), Packet Received (Y/N), Bytes Received, Signal Strength, Noise Strength
3024,1109190628,54805,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3025,1109190628,54818,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3026,1109190628,54831,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3027,1109190628,54844,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3028,1109190628,54857,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3029,1109190628,54870,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3030,1109190628,54884,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3031,1109190628,54897,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3032,1109190628,54910,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3033,1109190628,54923,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3034,1109190628,54936,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3035,1109190628,54948,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3036,1109190628,54961,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3037,1109190628,54974,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3038,1109190628,55000,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3039,1109190628,55013,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3040,1109190628,55026,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3041,1109190628,55039,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3042,1109190628,279479,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3043,1109190628,279485,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3044,1109190628,279489,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3045,1109190628,279493,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3046,1109190628,279497,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3047,1109190628,279501,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3048,1109190628,279505,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3049,1109190628,279509,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3050,1109190628,279513,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3051,1109190628,279516,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3052,1109190628,279520,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3053,1109190628,279524,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3054,1109190628,279528,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3055,1109190628,279532,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3056,1109190628,279536,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3057,1109190628,279540,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3058,1109190628,279544,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3059,1109190628,279548,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3060,1109190628,279551,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3061,1109190628,279555,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3062,1109190628,279559,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3063,1109190628,279564,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3064,1109190628,279568,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3065,1109190628,279572,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3066,1109190628,279576,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3067,1109190628,279581,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3068,1109190628,279584,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3069,1109190628,279588,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3070,1109190628,279593,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3071,1109190628,279597,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3072,1109190628,279601,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3073,1109190628,279605,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3074,1109190628,279609,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3075,1109190628,502571,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3076,1109190628,502576,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3077,1109190628,502580,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3078,1109190628,502584,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3079,1109190628,502588,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3080,1109190628,502592,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3081,1109190628,502596,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3082,1109190628,502600,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3083,1109190628,502604,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3084,1109190628,502608,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
